1,-2.89,-3.34,40.09,-24.37,-10.91,-29.9,-48.24,-155.89
2,-2.68,-0.56,12.26,0.96,-5.38,10.98,63.54,-79.85
3,-1.7,-1.15,25.29,-17.6,17.71,4.03,9.18,134.83
4,-1.66,1.17,8.84,2.1,-6.13,-6.01,-42.87,-71.07
5,-1.28,-0.3,20.78,11.54,-13.53,-10.75,-31.15,-49.53
6,-1.04,-4.2,139.8,94.4,55.08,87.18,38.58,30.26
7,-0.82,-2.36,66.45,17.16,44.42,-46.34,-44.22,68.88
8,-0.69,-1.45,46.41,-21.44,-12.72,-39.14,-57.5,-149.32
9,-0.68,2.82,6.51,-6.27,1.68,0.44,3.89,164.98
10,-0.58,-0.98,39.31,20.18,31.54,-11.97,-17.73,57.39
11,-0.52,0.72,18.4,13.31,12.7,0.03,0.11,43.67
12,-0.46,-5.14,281.74,214.17,-117.39,140.45,29.9,-28.73
13,-0.4,3.29,5.97,-1.02,0.77,-5.83,-77.67,142.82
14,-0.26,-0.73,40.43,18.18,-31.86,17.0,24.87,-60.29
15,-0.22,-6.83,683.87,-49.0,618.45,-287.75,-24.88,94.53
16,-0.16,-5.01,304.67,-291.26,-16.78,-87.82,-16.75,-176.7
17,-0.13,2.66,9.03,-8.15,-3.82,-0.68,-4.34,-154.9
18,0.04,-4.06,215.44,-152.37,137.19,-66.16,-17.88,138.0
19,0.07,0.68,24.69,15.9,-10.01,-16.01,-40.43,-32.2
20,0.12,-3.39,164.31,70.09,-116.64,-92.09,-34.09,-59.0
21,0.15,-6.47,686.85,84.18,-676.28,85.57,7.16,-82.9
22,0.2,-3.15,152.97,77.72,127.84,-31.89,-12.03,58.7
23,0.27,-1.21,64.53,-53.14,25.06,-26.67,-24.41,154.75
24,0.29,-2.5,117.53,65.59,-2.43,-97.49,-56.05,-2.12
25,0.31,-3.46,185.06,-28.42,91.27,158.45,58.9,107.29
26,0.32,0.28,33.11,-7.7,8.91,30.95,69.16,130.83
27,0.37,0.31,33.64,28.53,8.94,-15.41,-27.27,17.4
28,0.38,3.7,7.07,-1.3,-1.84,-6.71,-71.42,-125.15
29,0.39,-4.3,283.15,-43.96,-40.53,-276.76,-77.81,-137.32
30,0.42,-1.42,75.95,-17.13,-59.97,-43.33,-34.79,-105.94
31,0.44,2.14,14.91,-9.86,9.3,-6.2,-24.59,136.66
32,0.47,-0.84,59.49,-23.37,-54.26,6.97,6.73,-113.31
33,0.48,-3.6,213.44,-116.69,-18.04,177.8,56.41,-171.21
34,0.49,-6.16,698.51,-266.35,-618.62,-185.14,-15.37,-113.29
35,0.49,-1.48,80.76,66.01,14.43,44.23,33.21,12.33
36,0.52,0.46,33.54,6.85,-5.25,32.41,75.08,-37.48
37,0.55,-4.01,265.8,96.56,-205.9,137.59,31.17,-64.88
38,0.55,0.81,29.0,24.59,-13.94,6.46,12.88,-29.54
39,0.58,0.83,29.01,-2.49,-26.04,12.53,25.59,-95.46
40,0.61,-3.86,254.91,82.85,-240.93,-8.14,-1.83,-71.02
41,0.63,1.43,22.56,-17.84,-13.17,4.19,10.69,-143.55
42,0.67,-0.52,56.45,-55.45,-2.96,10.19,10.4,-176.94
43,0.67,-0.39,53.11,39.66,20.75,28.59,32.56,27.62
44,0.71,-2.34,133.08,-38.06,-49.16,117.66,62.15,-127.75
45,0.71,-0.03,45.85,-38.52,-5.2,24.31,32.03,-172.31
46,0.71,-0.48,56.44,-46.5,-24.63,20.41,21.2,-152.09
47,0.72,-4.5,360.2,272.57,-110.4,-207.99,-35.27,-22.05
48,0.72,0.01,45.25,-34.04,-25.27,15.82,20.46,-143.41
49,0.73,-2.46,141.63,-84.3,109.6,-30.65,-12.5,127.56
50,0.74,-1.38,86.49,-65.84,40.86,-38.42,-26.37,148.18
51,0.74,0.11,43.6,-14.86,35.78,19.99,27.29,112.55
52,0.78,2.09,17.91,13.05,0.12,12.26,43.21,0.54
53,0.8,0.51,37.21,-5.08,23.23,-28.62,-50.28,102.34
54,0.84,-2.93,185.6,-79.65,-164.1,-34.23,-10.63,-115.89
55,0.86,-0.72,67.48,-16.28,63.47,-16.1,-13.8,104.38
56,0.86,-0.19,53.07,11.86,-26.94,44.15,56.31,-66.23
57,0.87,-2.19,134.03,-98.63,-8.25,-90.37,-42.4,-175.22
58,0.88,-1.22,85.62,-60.6,-23.37,-55.8,-40.67,-158.91
